Column,time,hours,minutes,pedestrians,bicyclists,cars,buses,trucks,location,long,lat,total
1,2019-10-28T04:00:00Z,04,00,0,0,0,0,0,Campus_Dr_&_Presidential_Dr,38.985006,-76.952683,0
2,2019-10-28T04:15:00Z,04,15,0,0,0,0,0,Campus_Dr_&_Presidential_Dr,38.985006,-76.952683,0
3,2019-10-28T04:30:00Z,04,30,0,0,0,0,0,Campus_Dr_&_Presidential_Dr,38.985006,-76.952683,0
4,2019-10-28T04:45:00Z,04,45,0,0,0,0,0,Campus_Dr_&_Presidential_Dr,38.985006,-76.952683,0
5,2019-10-28T05:00:00Z,05,00,0,0,0,0,0,Campus_Dr_&_Presidential_Dr,38.985006,-76.952683,0
6,2019-10-28T05:15:00Z,05,15,0,0,0,0,0,Campus_Dr_&_Presidential_Dr,38.985006,-76.952683,0
7,2019-10-28T05:30:00Z,05,30,0,0,1,0,0,Campus_Dr_&_Presidential_Dr,38.985006,-76.952683,1
8,2019-10-28T05:45:00Z,05,45,0,0,0,0,0,Campus_Dr_&_Presidential_Dr,38.985006,-76.952683,0
9,2019-10-28T06:00:00Z,06,00,0,0,1,0,0,Campus_Dr_&_Presidential_Dr,38.985006,-76.952683,1
10,2019-10-28T06:15:00Z,06,15,0,0,0,0,0,Campus_Dr_&_Presidential_Dr,38.985006,-76.952683,0
11,2019-10-28T06:30:00Z,06,30,0,0,0,0,0,Campus_Dr_&_Presidential_Dr,38.985006,-76.952683,0
12,2019-10-28T06:45:00Z,06,45,0,0,1,0,0,Campus_Dr_&_Presidential_Dr,38.985006,-76.952683,1
13,2019-10-28T07:00:00Z,07,00,0,0,0,0,0,Campus_Dr_&_Presidential_Dr,38.985006,-76.952683,0
14,2019-10-28T07:15:00Z,07,15,0,0,0,0,0,Campus_Dr_&_Presidential_Dr,38.985006,-76.952683,0
15,2019-10-28T07:30:00Z,07,30,0,0,0,0,0,Campus_Dr_&_Presidential_Dr,38.985006,-76.952683,0
16,2019-10-28T07:45:00Z,07,45,0,0,0,0,0,Campus_Dr_&_Presidential_Dr,38.985006,-76.952683,0
17,2019-10-28T08:00:00Z,08,00,0,0,0,0,0,Campus_Dr_&_Presidential_Dr,38.985006,-76.952683,0
18,2019-10-28T08:15:00Z,08,15,0,0,0,0,0,Campus_Dr_&_Presidential_Dr,38.985006,-76.952683,0
19,2019-10-28T08:30:00Z,08,30,0,0,0,0,0,Campus_Dr_&_Presidential_Dr,38.985006,-76.952683,0
20,2019-10-28T08:45:00Z,08,45,0,0,0,0,0,Campus_Dr_&_Presidential_Dr,38.985006,-76.952683,0
21,2019-10-28T09:00:00Z,09,00,0,0,0,0,0,Campus_Dr_&_Presidential_Dr,38.985006,-76.952683,0
22,2019-10-28T09:15:00Z,09,15,0,0,1,0,0,Campus_Dr_&_Presidential_Dr,38.985006,-76.952683,1
23,2019-10-28T09:30:00Z,09,30,2,3,1,0,0,Campus_Dr_&_Presidential_Dr,38.985006,-76.952683,6
24,2019-10-28T09:45:00Z,09,45,0,0,0,0,0,Campus_Dr_&_Presidential_Dr,38.985006,-76.952683,0
