Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,DateTime
63 F,50 F,63 %,N,8 mph,0 mph,30.02 in,0.0 in,T-Storm,2019-10-28T00:00:00Z
61 F,48 F,62 %,N,6 mph,0 mph,30.02 in,0.0 in,Fair,2019-10-28T01:00:00Z
59 F,49 F,69 %,N,6 mph,0 mph,30.04 in,0.0 in,Fair,2019-10-28T02:00:00Z
58 F,51 F,78 %,N,6 mph,0 mph,30.05 in,0.0 in,Fair,2019-10-28T03:00:00Z
58 F,51 F,78 %,N,8 mph,0 mph,30.07 in,0.0 in,Fair,2019-10-28T04:00:00Z
56 F,51 F,84 %,N,8 mph,0 mph,30.10 in,0.0 in,Fair,2019-10-28T05:00:00Z
58 F,50 F,75 %,NNE,7 mph,0 mph,30.13 in,0.0 in,Fair,2019-10-28T06:00:00Z
58 F,49 F,72 %,NE,9 mph,0 mph,30.16 in,0.0 in,Fair,2019-10-28T07:00:00Z
60 F,49 F,67 %,ENE,5 mph,0 mph,30.19 in,0.0 in,Fair,2019-10-28T08:00:00Z
60 F,49 F,67 %,NE,9 mph,0 mph,30.19 in,0.0 in,Fair,2019-10-28T09:00:00Z
64 F,49 F,58 %,NE,8 mph,0 mph,30.18 in,0.0 in,Fair,2019-10-28T10:00:00Z
65 F,49 F,56 %,NE,5 mph,0 mph,30.18 in,0.0 in,Fair,2019-10-28T11:00:00Z
67 F,48 F,51 %,NE,5 mph,0 mph,30.16 in,0.0 in,Fair,2019-10-28T12:00:00Z
68 F,49 F,50 %,ENE,7 mph,0 mph,30.15 in,0.0 in,Fair,2019-10-28T13:00:00Z
69 F,49 F,49 %,ESE,6 mph,0 mph,30.14 in,0.0 in,Partly Cloudy,2019-10-28T14:00:00Z
67 F,50 F,54 %,SE,7 mph,0 mph,30.15 in,0.0 in,Partly Cloudy,2019-10-28T15:00:00Z
65 F,51 F,61 %,SE,9 mph,0 mph,30.16 in,0.0 in,Mostly Cloudy,2019-10-28T16:00:00Z
62 F,51 F,67 %,SE,6 mph,0 mph,30.17 in,0.0 in,Mostly Cloudy,2019-10-28T17:00:00Z
61 F,51 F,70 %,ESE,5 mph,0 mph,30.18 in,0.0 in,Mostly Cloudy,2019-10-28T18:00:00Z
58 F,53 F,84 %,S,3 mph,0 mph,30.19 in,0.0 in,Mostly Cloudy,2019-10-28T19:00:00Z
60 F,53 F,78 %,S,5 mph,0 mph,30.21 in,0.0 in,Mostly Cloudy,2019-10-28T20:00:00Z
60 F,55 F,83 %,ESE,10 mph,0 mph,30.21 in,0.0 in,Cloudy,2019-10-28T21:00:00Z
61 F,55 F,81 %,ESE,9 mph,0 mph,30.22 in,0.0 in,Cloudy,2019-10-28T22:00:00Z
64 F,51 F,63 %,N,7 mph,0 mph,30.00 in,0.0 in,Fair,2019-10-28T23:00:00Z
60 F,57 F,90 %,ESE,7 mph,0 mph,30.23 in,0.0 in,Cloudy,2019-10-29T00:00:00Z
60 F,56 F,86 %,ESE,7 mph,0 mph,30.23 in,0.0 in,Mostly Cloudy,2019-10-29T01:00:00Z
59 F,56 F,90 %,E,6 mph,0 mph,30.22 in,0.0 in,Mostly Cloudy,2019-10-29T02:00:00Z
59 F,56 F,90 %,ESE,8 mph,0 mph,30.22 in,0.0 in,Mostly Cloudy,2019-10-29T03:00:00Z
59 F,54 F,83 %,ESE,12 mph,0 mph,30.22 in,0.0 in,Cloudy,2019-10-29T04:00:00Z
